T1,T2,T3,T4,Delay,Offset
1520717514.977639,1520717514.977671,1520717514.977688,1520717514.990482,12.825965881347656,-6.381034851074219
1520717514.996063,1520717514.990705,1520717514.990734,1520717514.996121,0.028848648071289062,-5.372405052185059
1520717514.99926,1520717514.999141,1520717514.999162,1520717514.999326,0.04506111145019531,-0.14150142669677734
1520717515.006398,1520717514.999533,1520717514.999546,1520717515.006443,0.031948089599609375,-6.880998611450195
1520717515.006953,1520717515.007039,1520717515.007057,1520717515.013837,6.866216659545898,-3.347039222717285
1520717515.015215,1520717515.015241,1520717515.015257,1520717515.015476,0.24509429931640625,-0.09655952453613281
1520717515.015587,1520717515.015598,1520717515.015608,1520717515.01574,0.14281272888183594,-0.060439109802246094
1520717515.015842,1520717515.015848,1520717515.015857,1520717515.015919,0.06794929504394531,-0.028014183044433594
1520717515.016021,1520717515.016153,1520717515.016162,1520717515.016275,0.24509429931640625,0.0095367431640625
1520717515.017239,1520717515.016871,1520717515.01688,1520717515.017435,0.186920166015625,-0.461578369140625
1520717515.018168,1520717515.017539,1520717515.017571,1520717515.018188,-0.011920928955078125,-0.6229877471923828
1520717515.024483,1520717515.024513,1520717515.024531,1520717515.024722,0.22125244140625,-0.08058547973632812
1520717515.032981,1520717515.024942,1520717515.024958,1520717515.033044,0.047206878662109375,-8.062601089477539
1520717515.03978,1520717515.03792,1520717515.037936,1520717515.039813,0.0171661376953125,-1.8684864044189453
1520717515.044928,1520717515.044242,1520717515.044256,1520717515.044956,0.013828277587890625,-0.6930828094482422
1520717515.052169,1520717515.051567,1520717515.051586,1520717515.053589,1.4011859893798828,-1.3025999069213867
1520717515.053801,1520717515.053859,1520717515.053871,1520717515.063018,9.205102920532227,-4.544615745544434
1520717515.069966,1520717515.065453,1520717515.065467,1520717515.070051,0.07104873657226562,-4.548549652099609
1520717515.072391,1520717515.073481,1520717515.073499,1520717515.080398,7.989168167114258,-2.904534339904785
1520717515.085255,1520717515.084638,1520717515.084662,1520717515.088751,3.4723281860351562,-2.3529529571533203
1520717515.097845,1520717515.096847,1520717515.096864,1520717515.097874,0.011920928955078125,-1.0039806365966797
1520717515.101182,1520717515.099617,1520717515.099686,1520717515.101219,-0.031948089599609375,-1.5490055084228516
1520717515.10538,1520717515.104362,1520717515.104533,1520717515.105409,-0.14209747314453125,-0.9469985961914062
1520717515.106059,1520717515.105554,1520717515.105564,1520717515.106076,0.0069141387939453125,-0.508427619934082
1520717515.107392,1520717515.106198,1520717515.106207,1520717515.107417,0.01621246337890625,-1.2021064758300781
1520717515.109209,1520717515.108496,1520717515.108509,1520717515.109233,0.010728836059570312,-0.7184743881225586
1520717515.109533,1520717515.109398,1520717515.109407,1520717515.109553,0.010967254638671875,-0.14066696166992188
1520717515.11001,1520717515.110054,1520717515.110069,1520717515.110299,0.2741813659667969,-0.09298324584960938
1520717515.110899,1520717515.110796,1520717515.110811,1520717515.110926,0.011920928955078125,-0.10895729064941406
1520717515.113116,1520717515.111107,1520717515.111119,1520717515.113177,0.049114227294921875,-2.0334720611572266
1520717515.11862,1520717515.118774,1520717515.118786,1520717515.119856,1.2240409851074219,-0.45800209045410156
1520717515.125112,1520717515.124891,1520717515.124906,1520717515.126447,1.31988525390625,-0.8809566497802734
1520717515.141498,1520717515.139281,1520717515.139351,1520717515.142325,0.7569789886474609,-2.59554386138916
1520717515.148634,1520717515.148659,1520717515.148673,1520717515.149256,0.6079673767089844,-0.2789497375488281
1520717515.150826,1520717515.149421,1520717515.149429,1520717515.151885,1.0509490966796875,-1.9304752349853516
1520717515.160978,1520717515.152166,1520717515.15218,1520717515.161062,0.06985664367675781,-8.84711742401123
1520717515.168049,1520717515.161265,1520717515.161466,1520717515.168136,-0.11420249938964844,-6.727099418640137
1520717515.174906,1520717515.175357,1520717515.17537,1520717515.181764,6.844997406005859,-2.9714107513427734
1520717515.204002,1520717515.204115,1520717515.204139,1520717515.206692,2.665996551513672,-1.2199878692626953
1520717515.210939,1520717515.209889,1520717515.209904,1520717515.211744,0.7901191711425781,-1.4450550079345703
1520717515.220768,1520717515.21956,1520717515.219575,1520717515.220794,0.010967254638671875,-1.2135505676269531
1520717515.236915,1520717515.231276,1520717515.231293,1520717515.236973,0.04100799560546875,-5.659580230712891
1520717515.247563,1520717515.247952,1520717515.247969,1520717515.248695,1.1150836944580078,-0.1684427261352539
1520717515.301395,1520717515.301428,1520717515.301442,1520717515.309052,7.643222808837891,-3.788471221923828
1520717515.319168,1520717515.314921,1520717515.314937,1520717515.319218,0.03361701965332031,-4.2639970779418945
1520717515.324713,1520717515.324763,1520717515.32478,1520717515.32745,2.7201175689697266,-1.3099908828735352
1520717515.332797,1520717515.33282,1520717515.332835,1520717515.333246,0.43392181396484375,-0.19407272338867188
1520717515.335894,1520717515.334954,1520717515.334968,1520717515.337166,1.2578964233398438,-1.5690326690673828
1520717515.348917,1520717515.348854,1520717515.348878,1520717515.348945,0.0040531158447265625,-0.06496906280517578
1520717515.351429,1520717515.351457,1520717515.351473,1520717515.351567,0.1220703125,-0.032901763916015625
1520717515.352287,1520717515.351711,1520717515.351717,1520717515.352334,0.04100799560546875,-0.5965232849121094
1520717515.359794,1520717515.352497,1520717515.352505,1520717515.359838,0.0362396240234375,-7.314920425415039
1520717515.362551,1520717515.362679,1520717515.362697,1520717515.363215,0.6461143493652344,-0.19502639770507812
1520717515.365172,1520717515.366216,1520717515.366237,1520717515.371054,5.861043930053711,-1.8864870071411133
1520717515.376082,1520717515.37589,1520717515.375929,1520717515.376498,0.3769397735595703,-0.38039684295654297
1520717515.378266,1520717515.378176,1520717515.378188,1520717515.378286,0.007867813110351562,-0.0940561294555664
1520717515.379254,1520717515.378413,1520717515.37842,1520717515.379577,0.31566619873046875,-0.9989738464355469
1520717515.395789,1520717515.395558,1520717515.395573,1520717515.395808,0.004291534423828125,-0.23293495178222656
1520717515.399163,1520717515.398594,1520717515.398604,1520717515.402307,3.134012222290039,-2.136111259460449
1520717515.404481,1520717515.403764,1520717515.403777,1520717515.404587,0.09322166442871094,-0.7635354995727539
1520717515.407395,1520717515.404841,1520717515.404851,1520717515.408096,0.6911754608154297,-2.8995275497436523
1520717515.410988,1520717515.411017,1520717515.411034,1520717515.411214,0.20885467529296875,-0.07557868957519531
1520717515.425912,1520717515.411347,1520717515.41136,1520717515.427062,1.1370182037353516,-15.133500099182129
1520717515.438324,1520717515.438352,1520717515.438366,1520717515.439173,0.8351802825927734,-0.38945674896240234
1520717515.440441,1520717515.441551,1520717515.441565,1520717515.446127,5.671977996826172,-1.725912094116211
1520717515.447762,1520717515.447788,1520717515.447805,1520717515.453205,5.426168441772461,-2.68709659576416
1520717515.457718,1520717515.45775,1520717515.457764,1520717515.458049,0.3173351287841797,-0.1264810562133789
1520717515.45825,1520717515.458194,1520717515.458202,1520717515.458266,0.008106231689453125,-0.06008148193359375
1520717515.475442,1520717515.459181,1520717515.45919,1520717515.477447,1.9962787628173828,-17.25900173187256
1520717515.512352,1520717515.496493,1520717515.496514,1520717515.512432,0.0591278076171875,-15.888452529907227
1520717515.513989,1520717515.512692,1520717515.513433,1520717515.514014,-0.7159709930419922,-0.9390115737915039
1520717515.515238,1520717515.514587,1520717515.514601,1520717515.515263,0.010967254638671875,-0.6566047668457031
